Collection Name,Title#1,Subtitle#1,Uniform Title#1,Alternative Title#1,Non Sort#1,Title Part Number#1,Uniform Title#2,Name Part#1,Name Part Date#1,Name Display Form#1,Name Type#1,Name Authority#1,Name Part#2,Name Part Date#2,Name Display Form#2,Name Type#2,Name Authority#2,Type of Resource#1,Type of Resource Authority#1,Genre#1,Genre Authority#1,Genre Type#1,Genre#2,Genre Authority#2,Genre Type#2,Genre#3,Genre Authority#3,Genre Type#3,Place Term#1,Place Term Type#1,Place Term Authority#1,Date Created#1,Date Captured#1,Date Captured Encoding#1,Place Term#2,Place Term Authority#2,Place Term#3,Place Term Authority#3,Language Term#1,Language Term Code#1,Language Term Code Authority#1,Language Term Type#1,Form#1,Form Authority#1,Internet Media Type#1,Extent#1,Digital Origin#1,Physical Description Note#1,Abstract#1,Abstract#2,Abstract#3,Note#1,Note Type#1,Note#2,Note Type#2,Note#3,Note Type#3,Note#4,Note Type#4,Note#5,Note Type#5,Subject Topic#1,Subject Topic Authority#1,Subject Topic#10,Subject Topic Authority#10,Subject Topic#2,Subject Topic Authority#2,Subject Topic#3,Subject Topic Authority#3,Subject Topic#4,Subject Topic Authority#4,Subject Topic#5,Subject Topic Authority#5,Subject Topic#6,Subject Topic Authority#6,Subject Topic#7,Subject Topic Authority#7,Subject Topic#8,Subject Topic Authority#8,Subject Topic#9,Subject Topic Authority#9,Subject Geographic#1,Subject Geographic Authority#1,Subject Geographic#2,Subject Geographic Authority#2,Subject Temporal#1,Subject Temporal Authority#1,Subject Temporal#2,Subject Temporal Authority#2,Subject Temporal#3,Subject Temporal Authority#3,Subject Temporal#4,Subject Temporal Authority#4,Subject Title Info#1,Subject Title Info#2,Subject Name#1,Subject Name Authority#1,Subject Name#2,Subject Name Authority#2,Classification#1,Classification Authority#1,Related Item Type#1,Related Item Identifier#1,Related Item Identifier URI#1,Related Item Type#2,Related Item Identifier#2,Related Item Identifier URI#2,Related Item Type#3,Related Item Identifier#3,Related Item Identifier URI#3,Related Item Type#4,Related Item Identifier#4,Related Item Identifier URI#4,Related Item Type#5,Related Item Identifier#5,Related Item Identifier URI#5,Related Item Type#6,Related Item Identifier#6,Related Item Identifier URI#6,Related Item Type#7,Related Item Identifier#7,Related Item Identifier URI#7,Related Item Type#8,Related Item Identifier#8,Related Item Identifier URI#8,Identifier#1,Identifier Type#1,Identifier URI#1,Identifier ARK#1,Physical Location#1,Physical Location Type#1,Shelf Identifier#1,Location URL#1,Access Condition#1,Access Condition Authority#1,Extent List#1,ln_RECORDID,ln_RECORD_BATCHID,lnexp_MEDIAFILENAME,lnexp_PAGEURL
Medieval Manuscript Leaves,[Cambridge?] Bible,[3 Kings (1 Chronicles) 2:4Â–42],,,,,,,,,,,,,,,,Manuscript,http://id.loc.gov/vocabulary/resourceTypes/man,bibles,http://vocab.getty.edu/page/aat/300264513,work type,,,,,,,,,,[1200/1240],2009-08-25,iso8601,,,,,Latin,lat,http://id.loc.gov/vocabulary/iso639-1/la,,electronic,marcform,image/jpeg,105489900,reformatted digital,,275 x 202 mm. Parchment. Double column; each column 193 x 47 mm.; 60 lines to a column; ruled and bounded; prick marks visible. Running title with alternate letters/numbers in red and blue.,,,"Provenance: '89' in upper outer margin in pencil. Complete Bible sold Sotheby's, 21 December 1948, lot 421 (to Maggs), and broken up. Details available from UCB Special Collections.",acquisition,,,,,,,,,"Manuscripts, Medieval -- Colorado -- Boulder",local,,,Illumination of books and manuscripts,http://id.loc.gov/authorities/subjects/sh85064332,,,,,,,,,,,,,,,England,http://id.worldcat.org/fast/1219920,,,Thirteenth century,http://id.worldcat.org/fast/1150138,,,,,,,Bible -- O.T. -- 1 Chronicles 2:4Â–42,,,,,,,,reverse,ege006b.jpg,http://cudl.colorado.edu/luna/servlet/s/816ivm,,,,,,,,,,,,,,,,,,,,,,ege006a.jpg,local,http://cudl.colorado.edu/luna/servlet/s/1h7aoo,https://ark.colorado.edu/ark:/47540/2p3m078337n9,"Special Collections, Archives & Preservation, University of Colorado Boulder",current,Ege 6,,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,Page 1 of 2,427378,219,ege006a.jpg,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~59~59~427378~124873
Medieval Manuscript Leaves,[Cambridge?] Bible,[3 Kings (1 Chronicles) 2:42Â–4:12],,,,,,,,,,,,,,,,Manuscript,http://id.loc.gov/vocabulary/resourceTypes/man,bibles,http://vocab.getty.edu/page/aat/300264513,work type,,,,,,,,,,[1200/1240],2009-08-25,iso8601,,,,,Latin,lat,http://id.loc.gov/vocabulary/iso639-1/la,,electronic,marcform,image/jpeg,107309412,reformatted digital,,275 x 202 mm. Parchment. Double column; each column 193 x 47 mm.; 60 lines to a column; ruled and bounded; prick marks visible. Running title with alternate letters/numbers in red and blue.,,,"Provenance: '89' in upper outer margin in pencil. Complete Bible sold Sotheby's, 21 December 1948, lot 421 (to Maggs), and broken up. Details available from UCB Special Collections.",acquisition,,,,,,,,,"Manuscripts, Medieval -- Colorado -- Boulder",local,,,Illumination of books and manuscripts,http://id.loc.gov/authorities/subjects/sh85064332,,,,,,,,,,,,,,,England,http://id.worldcat.org/fast/1219920,,,Thirteenth century,http://id.worldcat.org/fast/1150138,,,,,,,Bible -- O.T. -- 1 Chronicles 2:42Â–4:12,,,,,,,,recto,ege006a.jpg,http://cudl.colorado.edu/luna/servlet/s/1h7aoo,,,,,,,,,,,,,,,,,,,,,,ege006b.jpg,local,http://cudl.colorado.edu/luna/servlet/s/816ivm,https://ark.colorado.edu/ark:/47540/2c0d1b10733b,"Special Collections, Archives & Preservation, University of Colorado Boulder",current,Ege 6,,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,Page 2 of 2,427386,219,ege006b.jpg,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~59~59~427386~124874
Medieval Manuscript Leaves,"[Large initial ""D."" Spain]",,,"[Large initial ""D."" Italian]",,,,,,,,,,,,,,Manuscript,http://id.loc.gov/vocabulary/resourceTypes/man,antiphonaries,http://vocab.getty.edu/page/aat/300188812,work type,,,,,,,,,,[1280/1300],2009-08-31,iso8601,,,,,Latin,lat,http://id.loc.gov/vocabulary/iso639-1/la,,electronic,marcform,image/jpeg,130484196,reformatted digital,,"OVERSIZE 1. Large initial ""D,"" Spain, 16th c.? [Italy, Umbria, ca. 1280-1300? Italian, late 14th c.; Bolognese, central Italian style?] Rotunda. 10 1/4"" x 10 1/2"". Photo #46.","Antiphonal. Spain (?), Italy (?), s. xiv. 226/71 x 258/59 mm. (irregular fragment). Parchment. Single leaf. Three 4-line staves with square music notation.",,Provenance unknown,acquisition,Cataloged from existing description: Medieval Manuscripts in the Norlin Library & the Department of Fine Arts at the University of Colorado at Boulder: A Summary Catalogue,action,Contains musical notation,content,"Cataloged from existing description: Medieval, Renaissance, and 15th-17th Century Manuscripts in the Special Collections Department, University Libraries, University of Colorado at Boulder",action,,,"Manuscripts, Medieval -- Colorado -- Boulder",local,,,initials (layout features),http://vocab.getty.edu/page/aat/300168055,rubrics,http://vocab.getty.edu/page/aat/300196121,colored ink,http://vocab.getty.edu/page/aat/300126356,illuminated manuscripts,http://vocab.getty.edu/page/aat/300265483,,,,,,,,,Italy,http://id.worldcat.org/fast/1204565,Spain,http://id.worldcat.org/fast/1204303,Thirteenth century,http://id.worldcat.org/fast/1150138,Fourteenth century,http://id.worldcat.org/fast/933420,,,,,,,,,,,,,reverse,hay035b.jpg,http://cudl.colorado.edu/luna/servlet/s/59ad3z,,,,,,,,,,,,,,,,,,,,,,hay035a.jpg,local,http://cudl.colorado.edu/luna/servlet/s/4b5t3x,https://ark.colorado.edu/ark:/47540/4b7q4q68k7vw,"Special Collections, Archives & Preservation, University of Colorado Boulder",current,Hayes 35,,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,Page 1 of 2,428394,219,hay035a.jpg,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~59~59~428394~125000
Medieval Manuscript Leaves,"[Large initial ""D."" Spain]",,,"[Large initial ""D."" Italian]",,,,,,,,,,,,,,Manuscript,http://id.loc.gov/vocabulary/resourceTypes/man,antiphonaries,http://vocab.getty.edu/page/aat/300188812,work type,,,,,,,,,,[1280/1300],2009-08-31,iso8601,,,,,Latin,lat,http://id.loc.gov/vocabulary/iso639-1/la,,electronic,marcform,image/jpeg,131614812,reformatted digital,,"OVERSIZE 1. Large initial ""D,"" Spain, 16th c.? [Italy, Umbria, ca. 1280-1300? Italian, late 14th c.; Bolognese, central Italian style?] Rotunda. 10 1/4"" x 10 1/2"". Photo #46.","Antiphonal. Spain (?), Italy (?), s. xiv. 226/71 x 258/59 mm. (irregular fragment). Parchment. Single leaf. Three 4-line staves with square music notation.",,Provenance unknown,acquisition,Cataloged from existing description: Medieval Manuscripts in the Norlin Library & the Department of Fine Arts at the University of Colorado at Boulder: A Summary Catalogue,action,Contains musical notation,content,"Cataloged from existing description: Medieval, Renaissance, and 15th-17th Century Manuscripts in the Special Collections Department, University Libraries, University of Colorado at Boulder",action,,,"Manuscripts, Medieval -- Colorado -- Boulder",local,,,historiated initials,http://vocab.getty.edu/page/aat/300194390,colored ink,http://vocab.getty.edu/page/aat/300126356,illuminated manuscripts,http://vocab.getty.edu/page/aat/300265483,,,,,,,,,,,Italy,http://id.worldcat.org/fast/1204565,Spain,http://id.worldcat.org/fast/1204303,Thirteenth century,http://id.worldcat.org/fast/1150138,Twelfth century,http://id.worldcat.org/fast/1159791,,,,,,,,,,,,,reverse,hay035a.jpg,http://cudl.colorado.edu/luna/servlet/s/4b5t3x,,,,,,,,,,,,,,,,,,,,,,hay035b.jpg,local,http://cudl.colorado.edu/luna/servlet/s/59ad3z,https://ark.colorado.edu/ark:/47540/rd183981k0xx,"Special Collections, Archives & Preservation, University of Colorado Boulder",current,Hayes 35,,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,Page 2 of 2,428402,219,hay035b.jpg,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~59~59~428402~125001
Medieval Manuscript Leaves,"[Missal, fol. 142r]",,,,,,,,,,,,,,,,,Manuscript,http://id.loc.gov/vocabulary/resourceTypes/man,missals,http://vocab.getty.edu/page/aat/300026472,work type,,,,,,,,,,[1130/1170],2009-08-25,iso8601,,,,,Latin,lat,http://id.loc.gov/vocabulary/iso639-1/la,,electronic,marcform,image/jpeg,151401104,reformatted digital,,,,,A gift to the University Libraries from Diane and Robert Greenlee in honor of Professor Amy Vandersall.,acquisition,,,,,,,,,"Manuscripts, Medieval -- Colorado -- Boulder",local,,,initials (layout features),http://vocab.getty.edu/page/aat/300168055,rubrics,http://vocab.getty.edu/page/aat/300196121,illuminated manuscripts,http://vocab.getty.edu/page/aat/300265483,,,,,,,,,,,Spain,http://id.worldcat.org/fast/1204303,,,Twelfth century,http://id.worldcat.org/fast/1159791,,,,,,,,,,,,,,,recto,ege002a.jpg,http://cudl.colorado.edu/luna/servlet/s/1ck25c,,,,,,,,,,,,,,,,,,,,,,ege002b.jpg,local,http://cudl.colorado.edu/luna/servlet/s/6679ds,https://ark.colorado.edu/ark:/47540/29526p36r7bs,"Special Collections, Archives & Preservation, University of Colorado Boulder",current,Ege 2,,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,Page 2 of 2,427322,219,ege002b.jpg,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~59~59~427322~124866
Medieval Manuscript Leaves,"[Missal, fol. 142r]",,,,,,,,,,,,,,,,,Manuscript,http://id.loc.gov/vocabulary/resourceTypes/man,missals,http://vocab.getty.edu/page/aat/300026472,work type,,,,,,,,,,[1130/1170],2009-08-25,iso8601,,,,,Latin,lat,http://id.loc.gov/vocabulary/iso639-1/la,,electronic,marcform,image/jpeg,156529888,reformatted digital,,,,,A gift to the University Libraries from Diane and Robert Greenlee in honor of Professor Amy Vandersall.,acquisition,,,,,,,,,"Manuscripts, Medieval -- Colorado -- Boulder",local,,,marginalia (annotations),http://vocab.getty.edu/page/aat/300026102,rubrics,http://vocab.getty.edu/page/aat/300196121,illuminated manuscripts,http://vocab.getty.edu/page/aat/300265483,scrolling foliage,http://vocab.getty.edu/page/aat/300168055,,,,,,,,,Spain,http://id.worldcat.org/fast/1204303,,,Twelfth century,http://id.worldcat.org/fast/1159791,,,,,,,,,,,,,,,verso,ege002b.jpg,http://cudl.colorado.edu/luna/servlet/s/6679ds,,,,,,,,,,,,,,,,,,,,,,ege002a.jpg,local,http://cudl.colorado.edu/luna/servlet/s/1ck25c,https://ark.colorado.edu/ark:/47540/cm699066n2wf,"Special Collections, Archives & Preservation, University of Colorado Boulder",current,Ege 2,,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,Page 1 of 2,427314,219,ege002a.jpg,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~59~59~427314~124865
Medieval Manuscript Leaves,[New Testament],[John 19:7-12],Bible -- N.T. -- John,,,,,,,,,,,,,,,Manuscript,http://id.loc.gov/vocabulary/resourceTypes/man,bibles,http://vocab.getty.edu/page/aat/300264513,work type,,,,,,,,,,[1100/1160],2009-08-25,iso8601,,,,,Latin,lat,http://id.loc.gov/vocabulary/iso639-1/la,,electronic,marcform,image/jpeg,70638408,reformatted digital,,Bible (John 19:7-19) recto. Early 12th century. Parchment. Double column; double column with notes in the margin.,,,A gift to the University Libraries from Diane and Robert Greenlee in honor of Professor Amy Vandersall.,acquisition,,,,,,,,,"Manuscripts, Medieval -- Colorado -- Boulder",local,,,marginalia (annotations),http://vocab.getty.edu/page/aat/300026102,illuminated manuscripts,http://vocab.getty.edu/page/aat/300265483,,,,,,,,,,,,,Switzerland,http://id.worldcat.org/fast/1205401,,,Twelfth century,http://id.worldcat.org/fast/1159791,,,,,,,Bible -- N.T. -- John 19:7-12,,,,,,,,verso,ego001b.jpg,http://cudl.colorado.edu/luna/servlet/s/2bdv28,,,,,,,,,,,,,,,,,,,,,,ege001a.jpg,local,http://cudl.colorado.edu/luna/servlet/s/6yk39j,https://ark.colorado.edu/ark:/47540/fd1k2f66r0r9,"Special Collections, Archives & Preservation, University of Colorado Boulder",current,Ege 1,,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,Page 1 of 2,427298,219,ege001a.jpg,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~59~59~427298~124863
Medieval Manuscript Leaves,[New Testament],[John 19:12-19],Bible -- N.T. -- John,,,,,,,,,,,,,,,Manuscript,http://id.loc.gov/vocabulary/resourceTypes/man,bibles,http://vocab.getty.edu/page/aat/300264513,work type,,,,,,,,,,[1100/1160],2009-08-25,iso8601,,,,,Latin,lat,http://id.loc.gov/vocabulary/iso639-1/la,,electronic,marcform,image/jpeg,70123020,reformatted digital,,Bible (John 19:7-19) verso. Early 12th century. Parchment. Double column; double column with notes in the margin and footnote.,,,A gift to the University Libraries from Diane and Robert Greenlee in honor of Professor Amy Vandersall.,acquisition,,,,,,,,,"Manuscripts, Medieval -- Colorado -- Boulder",local,,,marginalia (annotations),http://vocab.getty.edu/page/aat/300026102,illuminated manuscripts,http://vocab.getty.edu/page/aat/300265483,,,,,,,,,,,,,Switzerland,http://id.worldcat.org/fast/1205401,,,Twelfth century,http://id.worldcat.org/fast/1159791,,,,,,,Bible -- N.T. -- John 19:12-19,,,,,,,,recto,ege001a.jpg,http://cudl.colorado.edu/luna/servlet/s/6yk39j,,,,,,,,,,,,,,,,,,,,,,ege001b.jpg,local,http://cudl.colorado.edu/luna/servlet/s/2bdv28,https://ark.colorado.edu/ark:/47540/0x3z6p8810b3,"Special Collections, Archives & Preservation, University of Colorado Boulder",current,Ege 1,,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,Page 2 of 2,427306,219,ege001b.jpg,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~59~59~427306~124864
Medieval Manuscript Leaves,[Psalter. France?],,,[Psalter/Hours. France?],,,,,,,,,,,,,,Manuscript,http://id.loc.gov/vocabulary/resourceTypes/man,psalters,http://vocab.getty.edu/page/aat/300042136,work type,,,,,,,,,,[1400/1600],2009-08-31,iso8601,,,,,Latin,lat,http://id.loc.gov/vocabulary/iso639-1/la,,electronic,marcform,image/jpeg,20451720,reformatted digital,,"Psalter or Psalter/Hours, France?, 15th or 16th c.? [Most likely French, early 16th c.] Batarde. 1 leaf. Vellum. Grisaille initials on gold/brown ground. 3 3/8"" x 4 3/4"". Photo # 31.","Psalter (?) / Hours (?). France, s. xv. 120 x 87 mm. Parchment. Single leaf. Single column; 63 x 48 mm.; ruled in red; 13 lines. Frequent 1-or 2-line gray painted initials on red or gilt ground.",,Provenance unknown,acquisition,Cataloged from existing description: Medieval Manuscripts in the Norlin Library & the Department of Fine Arts at the University of Colorado at Boulder: A Summary Catalogue,action,"Cataloged from existing description: Medieval, Renaissance, and 15th-17th Century Manuscripts in the Special Collections Department, University Libraries, University of Colorado at Boulder",action,,,,,"Manuscripts, Medieval -- Colorado -- Boulder",local,,,initials (layout features),http://vocab.getty.edu/page/aat/300168055,gilding (technique),http://vocab.getty.edu/page/aat/300053789,colored ink,http://vocab.getty.edu/page/aat/300126356,illuminated manuscripts,http://vocab.getty.edu/page/aat/300265483,,,,,,,,,France,http://id.worldcat.org/fast/1204289,,,Fifteenth century,http://id.worldcat.org/fast/923962,Sixteenth century,http://id.worldcat.org/fast/1119851,,,,,,,,,,,,,reverse,hay020a.jpg,http://cudl.colorado.edu/luna/servlet/s/t85hn4,,,,,,,,,,,,,,,,,,,,,,hay020b.jpg,local,http://cudl.colorado.edu/luna/servlet/s/k3jmlc,https://ark.colorado.edu/ark:/47540/f73m5w475210,"Special Collections, Archives & Preservation, University of Colorado Boulder",current,Hayes 20,,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,Page 2 of 2,428370,219,hay020b.jpg,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~59~59~428370~124997
Medieval Manuscript Leaves,[Psalter. France?],,,[Psalter/Hours. France?],,,,,,,,,,,,,,Manuscript,http://id.loc.gov/vocabulary/resourceTypes/man,psalters,http://vocab.getty.edu/page/aat/300042136,work type,,,,,,,,,,[1400/1600],2009-08-31,iso8601,,,,,Latin,lat,http://id.loc.gov/vocabulary/iso639-1/la,,electronic,marcform,image/jpeg,42183344,reformatted digital,,"Psalter or Psalter/Hours, France?, 15th or 16th c.? [Most likely French, early 16th c.] Batarde. 1 leaf. Vellum. Grisaille initials on gold/brown ground. 3 3/8"" x 4 3/4"". Photo # 31.","Psalter (?) / Hours (?). France, s. xv. 120 x 87 mm. Parchment. Single leaf. Single column; 63 x 48 mm.; ruled in red; 13 lines. Frequent 1-or 2-line gray painted initials on red or gilt ground.",,Provenance unknown,acquisition,Cataloged from existing description: Medieval Manuscripts in the Norlin Library & the Department of Fine Arts at the University of Colorado at Boulder: A Summary Catalogue,action,"Cataloged from existing description: Medieval, Renaissance, and 15th-17th Century Manuscripts in the Special Collections Department, University Libraries, University of Colorado at Boulder",action,,,,,"Manuscripts, Medieval -- Colorado -- Boulder",local,,,initials (layout features),http://vocab.getty.edu/page/aat/300168055,colored ink,http://vocab.getty.edu/page/aat/300126356,illuminated manuscripts,http://vocab.getty.edu/page/aat/300265483,,,,,,,,,,,France,http://id.worldcat.org/fast/1204289,,,Fifteenth century,http://id.worldcat.org/fast/923962,Sixteenth century,http://id.worldcat.org/fast/1119851,,,,,,,,,,,,,reverse,hay020b.jpg,http://cudl.colorado.edu/luna/servlet/s/k3jmlc,,,,,,,,,,,,,,,,,,,,,,hay020a.jpg,local,http://cudl.colorado.edu/luna/servlet/s/t85hn4,https://ark.colorado.edu/ark:/47540/3f926x27788x,"Special Collections, Archives & Preservation, University of Colorado Boulder",current,Hayes 20,,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information.",http://rightsstatements.org/vocab/NoC-US/1.0/,Page 1 of 2,428362,219,hay020a.jpg,https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~59~59~428362~124996
